id,date,estimatedTotalAmt,transType,title,awardeeName
1461988,2014-10-14,156000,Standard Grant,Scaling limits of random and deterministic diffusion processes on the integer lattice,Cornell University
1462263,2014-10-14,135461,Standard Grant,"Geometric and computational group theory, in and around three-manifolds",Cornell University
1463883,2014-10-14,157242,Continuing Grant,Group and ring-like structures in Category Theory and applications to Algebraic Combinatorics,Cornell University
1462029,2014-10-21,120325,Continuing Grant,Phase mixing in the fluid mechanics and kinetic theory,"University of Maryland, College Park"
1461847,2014-10-24,45347,Standard Grant,Topological methods for Azumaya algebras,University of Illinois at Chicago
1501179,2014-10-24,115695,Standard Grant,"Hopf algebras, modular categories and their invariants",Louisiana State University
1446356,2014-10-28,15000,Standard Grant,"Workshop on Moduli Spaces, Derived Geometry, and Representation Theory",University of North Carolina at Chapel Hill
1449104,2014-10-28,24820,Standard Grant,"Hodge theory and L2-cohomology, Fall 2014",Johns Hopkins University
1501102,2014-10-28,400843,Continuing Grant,CAREER:  Test Ideals and the Geometry of Projective Varieties in Positive Characteristic,University of Utah
1501115,2014-10-28,191391,Continuing Grant,FRG: Collaborative Research: Birational Geometry and Singularities in Zero and Positive Characteristic,University of Utah
1503044,2014-10-28,258701,Continuing Grant,Commutative algebra: homological and homotopical aspects,University of Utah
1504697,2014-10-28,110276,Continuing Grant,Analysis and Control of Mathematical Models of Fluttering Plates,College of Charleston
1504589,2014-10-29,15069,Standard Grant,Holomorphic Singular Integrals on Non-Smooth Domains in Complex Analysis,Syracuse University
1464525,2014-10-30,133789,Standard Grant,Sparse Principal Component Analysis via the Sparsest Element in a Subspace,William Marsh Rice University
1446181,2014-10-31,50000,Standard Grant,"Analysis, Spectra, and Number Theory",Princeton University
1443462,2014-11-03,36000,Standard Grant,"Current Developments in Mathematics Conference, November 21-22, 2014",Harvard University
1444778,2014-11-03,11500,Standard Grant,"Conference on Geometric Methods in Representation Theory, November 22-24, 2014",University of Iowa
1449574,2014-11-03,48000,Standard Grant,US Travel Support for IHP Trimester in Probability,University of Alabama at Birmingham
1501568,2014-11-03,10447,Standard Grant,"Complex Analysis, Potential Theory, Special Functions and Applications, November 6-9, 2014",Texas Tech University
1500184,2014-11-04,49850,Standard Grant,Non-Archimedean Geometry and its Applications,Regents of the University of Michigan - Ann Arbor
1500302,2014-11-04,23335,Standard Grant,Conference on Complex Analysis and Geometry,University of Wisconsin-Madison
1500692,2014-11-04,40600,Standard Grant,Workshop on partial differential equations and several complex variables,Temple University
1446400,2014-11-07,29645,Standard Grant,"Clifford Analysis and Related Topics, December 15-17. 2014",Florida State University
1509331,2014-11-07,9109,Standard Grant,The Geometry and Global Analysis of Arithmetic Manifolds,University of Wisconsin-Madison
1444237,2014-11-13,35523,Standard Grant,"CBMS Conference: Reflectionless measures, Wolff's potentials, and rectifiability, June 15-19, 2015",North Dakota State University Fargo
1444450,2014-11-13,35190,Standard Grant,"CBMS Conference: The Basic Homotopy Lemma, The Asymptotic Uniqueness Theorem, and Classification of C*-Algebras, June 1-5, 2015",University of Wyoming
1458061,2014-11-13,55236,Standard Grant,Recursion Theory and Its Applications,Dartmouth College
1464771,2014-11-13,15000,Standard Grant,"Finite Dimensional Integrable Systems 2015, July 13-17, 2015",Pennsylvania State Univ University Park
1512950,2014-11-13,77628,Continuing Grant,Analysis of Whittaker periods and applications to automorphic forms,Cornell University
1444411,2014-11-14,35000,Standard Grant,CBMS Conference:  Introduction to the theory of valuations on convex sets,Kent State University
1515047,2014-11-20,122997,Standard Grant,DECAY AND WELL-POSEDNESS OF SOLUTIONS TO HYPERBOLIC PARTIAL DIFFERENTIAL EQUATIONS,"Georgia Southern University Research and Service Foundation, Inc"
1500361,2014-11-24,48400,Standard Grant,Workshop on Analysis and Geometry in Several Complex Variables,Texas A&M University
1418833,2014-11-25,25000,Standard Grant,Conference on the Foundations of Computational Mathematics 2014,North Carolina State University
1500454,2014-11-25,49935,Standard Grant,Modern Aspects of Complex Geometry,University of Cincinnati Main Campus
1445629,2014-12-01,25000,Standard Grant,"Free Boundary Problems and Applications, Spring 2014",University of Pittsburgh
1461679,2014-12-01,36068,Standard Grant,Conference on Mathematical Sciences Challenges in Quantum Information,Dartmouth College
1506125,2014-12-01,235314,Continuing Grant,"Collaborative research: A major leap forward: Optimal designs for correlated data, multiple objectives, and multiple covariates",Arizona State University
1446125,2014-12-05,30000,Standard Grant,Pan-American Conference on Differential Equations and Non-linear Analysis,University of Texas at Austin
1446398,2014-12-05,49940,Standard Grant,US-Mexico conference in representation theory and noncommutative algebra,University of Southern California
1462433,2014-12-08,38000,Standard Grant,Stratified spaces in geometric and computational topology and physics,University of Wisconsin-Madison
1464767,2014-12-08,10650,Standard Grant,Shanks Workshop on Mathematical Aspects of Fluid Dynamics,Vanderbilt University
1500915,2014-12-08,50000,Standard Grant,Great Plains Operator Theory Symposium 2015,Purdue University
1500926,2014-12-08,38200,Standard Grant,Annual Spring Institute on Noncommutative Geometry and Operator Algebras (NCGOA) 2015,Vanderbilt University
1501013,2014-12-08,19390,Standard Grant,Summer Symposium in Real Analysis 39,Saint Olaf College
1501458,2014-12-08,24600,Standard Grant,SEAM 2015 - The 31st Southeastern Analysis Meeting,University of Georgia Research Foundation Inc
1502372,2014-12-08,24000,Standard Grant,Rocky Mountain Dynamical Systems Conference,Brigham Young University
1501640,2014-12-10,46901,Standard Grant,Graduate Summer School in Modern Harmonic Analysis and Its Applications,"University of Maryland, College Park"
1464939,2014-12-11,30000,Standard Grant,Israel Conference on Complex Analysis and Dynamical Systems VII,University of South Florida
1500141,2014-12-11,30000,Standard Grant,"Asymptotics in Integrable Systems, Random Matrices and Random Processes, and Universality",Regents of the University of Michigan - Ann Arbor
1419023,2014-12-16,100000,Standard Grant,Collaborative Research: Data selection for unique model identification,Southern Methodist University
1419038,2014-12-16,100002,Standard Grant,Collaborative research: Data selection for unique model identification,Clemson University
1447423,2014-12-18,248620,Standard Grant,2015 AMS Summer Institute in Algebraic Geometry,American Mathematical Society
1412428,2014-12-19,58134,Standard Grant,Discrete Energy and Polarization Problems on Manifolds with Applications,Vanderbilt University
1418953,2014-12-19,126125,Standard Grant,Efficient high order methods for two multiscale problems,Florida International University
1446452,2014-12-19,15000,Standard Grant,Workshop on Advances in Discrete Networks,University of Pittsburgh
1460466,2014-12-19,49999,Standard Grant,"Representation Theory, Number Theory, and Invariant Theory",Massachusetts Institute of Technology
1461829,2014-12-19,17387,Standard Grant,NSF-SIAM Symposium on the Mathematical and Computational Aspects of Materials Science,Society For Industrial and Applied Math (SIAM)
1500675,2014-12-19,16078,Standard Grant,"Completeness problems, Carleson measures, and spaces of analytic functions",Baylor University
1515194,2014-12-19,58021,Standard Grant,RAPID: Fitting Ebola multi-type branching process models to data,University of Georgia Research Foundation Inc
1518420,2014-12-19,239705,Continuing Grant,CAREER: Symplectic and spectral theory of integrable systems,University of California-San Diego
1521293,2014-12-19,30253,Standard Grant,Fourier analysis and applications to completely integrable systems,University of Virginia Main Campus
1445705,2014-12-21,34000,Standard Grant,Young Geometric Group Theory IV,University of Utah
1448873,2014-12-21,36240,Standard Grant,Perspectives in Lie Theory,Massachusetts Institute of Technology
1500750,2014-12-31,49950,Standard Grant,Dynamical Developments:  A Conference in Complex Dynamics and Teichmuller Theory,Regents of the University of Michigan - Ann Arbor
1501073,2014-12-31,46143,Continuing Grant,Wabash Seminar and Miniconference,University of Illinois at Urbana-Champaign
1513633,2014-12-31,137119,Standard Grant,RAPID: Early Warning Algorithms for Predicting Ebola Infection Outcomes,Colorado State University
1517080,2014-12-31,237767,Continuing Grant,Moduli spaces of complex dynamical systems,Northwestern University
1522869,2014-12-31,147174,Continuing Grant,"Analysis of nematic liquid crystal flows, high dimensional phase-transition, conserved geometric motion, and L-infinity variational problems",Purdue University
1446115,2015-01-06,42000,Continuing Grant,Algebra and Geometry Meetings in the Midwest,Purdue University
1460296,2015-01-06,14800,Standard Grant,"Schroedinger Institute Workshop on Mathematical Physics, Number Theory, and Noncommutative Geometry",Trustees of Boston University
1500151,2015-01-06,49600,Standard Grant,Houston Summer School on Dynamical Systems,University of Houston
1500820,2015-01-06,24500,Standard Grant,"Conference on Algebraic, Enumerative and Topological Combinatorics",Washington University
1502404,2015-01-06,35000,Standard Grant,Conference Proposal: Conference Grant Application for Thematic Programme on Random Geometry,University of Utah
1506512,2015-01-06,104355,Continuing Grant,Mathematical Theory of Peridynamics and Nonlocal Models,University of Tennessee Knoxville
1454419,2015-01-08,448388,Continuing Grant,CAREER: Geometric Methods in Hyperbolic Partial Differential Equations,Massachusetts Institute of Technology
1463601,2015-01-08,12000,Standard Grant,Logic Meeting at UCLA,University of California-Los Angeles
1465011,2015-01-08,48000,Continuing Grant,Midwest Partial Differential Equations Seminar,University of Illinois at Chicago
1500796,2015-01-08,35000,Standard Grant,Sixth Symposium on Analysis and Partial Differential Equations,Purdue University
1500982,2015-01-08,47840,Standard Grant,Workshop Travel to Study Analysis and Geometry in Metric Spaces,Kenyon College
1519890,2015-01-08,351845,Continuing Grant,CAREER:  New Directions in Spatial Statistics,Oregon State University
1518529,2015-01-09,152976,Standard Grant,RAPID: Data-Based Spatiotemporal Models of Ebola Epidemics and Control,Arizona State University
1452762,2015-01-12,447002,Continuing Grant,CAREER: Interval Exchange Transformations and Translation Surfaces,University of Utah
1522828,2015-01-12,38394,Standard Grant,Interactions between p-adic arithmetic geometry and commutative algebra,Regents of the University of Michigan - Ann Arbor
1523088,2015-01-12,38472,Standard Grant,Geometric and analytic issues of nonlinear equations modelling non-local phenomena,University of Massachusetts Amherst
1523233,2015-01-12,106391,Standard Grant,FRG: Collaborative Research: Birational Geometry and Singularities in Zero and Positive Characteristic,University of California-San Diego
1513489,2015-01-13,176618,Standard Grant,RAPID: Stochastic Ebola Modeling on Dynamic Contact Networks,"OHIO STATE UNIVERSITY, THE"
1450510,2015-01-16,14960,Standard Grant,Texas Algebraic Geometry Symposium:  TAGS 2015,Texas A&M University
1454077,2015-01-16,48950,Standard Grant,Emphasis Year in Geometric Analysis at Northwestern University,Northwestern University
1501985,2015-01-16,29505,Continuing Grant,Can we compare sets of points efficiently?,Louisiana State University
1502471,2015-01-16,19000,Standard Grant,Conference on Probability Theory and Combinatorial Optimization,Duke University
1503700,2015-01-16,24900,Standard Grant,The Eighteenth Riviere-Fabes Symposium in Analysis and PDE,University of Minnesota-Twin Cities
1503743,2015-01-16,15000,Standard Grant,2015 Seymour Sherman Memorial Conference,Indiana University
1519043,2015-01-16,34000,Standard Grant,Workshop and Conference: K-theory: Future Directions,"OHIO STATE UNIVERSITY, THE"
1522670,2015-01-16,95734,Standard Grant,"Symplectic Cohomology, log Calabi-Yau Varieties, and equivariant Lagrangian Submanifolds",University of Illinois at Urbana-Champaign
1523496,2015-01-16,116502,Standard Grant,Sheaves on higher dimensional varieties,Northeastern University
1524465,2015-01-16,542383,Continuing Grant,Boundedness and termination,University of California-San Diego
1460699,2015-01-20,246941,Standard Grant,REU Site at UW Bothell,University of Washington
1460766,2015-01-20,343408,Standard Grant,REU Site: Undergraduate Research in the Mathematical Sciences and their Applications,Texas A&M University
1500517,2015-01-22,30000,Standard Grant,Applied Inverse Problems 2014 Conference Finland,University of Washington
1465291,2015-01-23,19962,Standard Grant,Conference Proposal: Modern Theory of Wave Equations Program at the Erwin Schrodinger Institute,Stanford University
1454942,2015-01-26,400000,Continuing Grant,CAREER: Next Generation Functional Methods for the Analysis of Emerging Repeated Measurements,North Carolina State University
1463957,2015-01-26,25108,Standard Grant,2015 Redbud Geometry/Topology Conference,Oklahoma State University
1519013,2015-01-26,33320,Continuing Grant,Collaborative research: Prairie Analysis Seminar 2015-2017,Kansas State University
1519016,2015-01-26,16660,Standard Grant,Collaborative Research: Prairie Analysis Seminar 2015-2017,University of Kansas Center for Research Inc
1461416,2015-01-27,45564,Standard Grant,Computational Intersection Theory for Infinite Dimensional Dynamical Systems,Florida Atlantic University
1501020,2015-01-27,49000,Continuing Grant,UNC PDE Mini-Schools,University of North Carolina at Chapel Hill
1503955,2015-01-27,22170,Standard Grant,"Conference: Geometry, groups and 3-manifolds",Cornell University
1506543,2015-01-27,16225,Standard Grant,Great Lakes Geometry Conference,Regents of the University of Michigan - Ann Arbor
1452392,2015-01-29,446865,Continuing Grant,"CAREER:  Polynomials, Geometry, and Dynamics",Regents of the University of Michigan - Ann Arbor
1454864,2015-01-29,444809,Continuing Grant,"CAREER: Entropy in dynamics: connections with geometry, algebraic numbers, and bioscience","OHIO STATE UNIVERSITY, THE"
1460937,2015-01-29,245453,Standard Grant,REU Site: Inverse Problems for Electrical Networks,University of Washington
1460537,2015-01-30,279997,Standard Grant,REU Site: Seattle University Mathematics Early Research (SUMmER),Seattle University
1461189,2015-01-30,258354,Standard Grant,REU Site: Wake/Davidson Experience In Number Theory Research,Wake Forest University
1500710,2015-01-30,19220,Standard Grant,The 29th Automorphic Forms Workshop,Regents of the University of Michigan - Ann Arbor
1460292,2015-01-31,7650,Standard Grant,2nd Lake Michigan Workshop on Combinatorics and Graph Theory,University of Notre Dame
1462470,2015-01-31,45678,Standard Grant,AWM Research Symposium 2015,"Association for Women in Mathematics, Inc."
1501219,2015-01-31,15000,Standard Grant,Graduate Student Combinatorics Conference 2015,University of Kentucky Research Foundation
1501399,2015-01-31,30000,Standard Grant,"Conference Proposal: Interactions between Representation Theory, Algebraic Topology and Commutative Algebra",University of Utah
1517864,2015-01-31,110065,Standard Grant,Complexity of Disordered Systems,Northwestern University
1455272,2015-02-03,499964,Continuing Grant,CAREER: Halting Problems In Statistical Mechanics,Cornell University
1460982,2015-02-03,267555,Standard Grant,REU Site: Willamette Mathematics Consortium Research Experiences for Undergraduates,Willamette University
1502166,2015-02-03,24500,Standard Grant,Perspectives on Complex Algebraic Geometry,Columbia University
1452093,2015-02-04,450193,Continuing Grant,CAREER: The geometry and physics of non-semi-simple quantum topology,Utah State University
1454767,2015-02-04,455281,Continuing Grant,"CAREER: Subfactors, Tensor Categories, and Local Topological Field Theory",Indiana University
1455049,2015-02-04,497773,Continuing Grant,CAREER: Stochastic processes in statistical physics and optimization,University of Chicago
1461148,2015-02-04,450000,Continuing Grant,REU Site: Modeling and Industrial Applied Mathematics,North Carolina State University
1461163,2015-02-04,449997,Continuing Grant,REU Site: Distributed REU in the Mathematical Biosciences,"OHIO STATE UNIVERSITY, THE"
1464430,2015-02-04,24300,Standard Grant,Singular Landscapes,University of Missouri-Columbia
1507908,2015-02-04,24530,Standard Grant,Recent Developments in Positive Characteristic Methods in Commutative Algebra: Frobenius Operators and Cartier Algebras,"Georgia State University Research Foundation, Inc."
1452068,2015-02-05,400000,Continuing Grant,CAREER: New methods for multivariate analysis in high dimensions,University of Minnesota-Twin Cities
1455172,2015-02-05,400000,Continuing Grant,CAREER: New Frontiers in Time Series Analysis,Cornell University
1455125,2015-02-06,400000,Continuing Grant,CAREER: Extremal Combinatorics,Carnegie Mellon University
1457443,2015-02-06,348115,Standard Grant,REU Site: Iowa State University Mathematics REU,Iowa State University
1500652,2015-02-06,49900,Standard Grant,The Boot Camp for the 2015 Algebraic Geometry Summer Research Institute,University of Georgia Research Foundation Inc
1501104,2015-02-06,40610,Standard Grant,"Classification of C*-algebras, Flow Equivalence of Shift Spaces, and Graphs and Leavitt Path Algebras",University of Louisiana at Lafayette
1502578,2015-02-06,30000,Standard Grant,Homological Mirror Symmetry Conference Miami 2015,University of Miami
1506217,2015-02-06,23750,Standard Grant,New Techniques in Birational Geometry,SUNY at Stony Brook
1452477,2015-02-09,400648,Continuing Grant,CAREER: Geometric Problems in General Relativity,University of Connecticut
1458396,2015-02-09,30000,Standard Grant,Underrepresented Students in Topology and Algebra Research Symposium (USTARS),Florida Gulf Coast University
1460241,2015-02-09,29700,Standard Grant,Hyperbolic Geometry and Minimal Surfaces,Boston College
1502192,2015-02-09,15799,Standard Grant,Southwest Local Algebra Meeting 2015,Oklahoma State University
1515691,2015-02-09,72313,Standard Grant,Collaborative Research:  Developing a probabilistic model for gene family evolution,Temple University
1454817,2015-02-10,400000,Continuing Grant,CAREER: Maximum likelihood and nonparametric empirical Bayes methods in high dimensions,Rutgers University New Brunswick
1501066,2015-02-10,49704,Standard Grant,International Conference on Harmonic Analysis and Its Applications,CUNY Queensborough Community College
1535464,2015-02-10,65314,Continuing Grant,Geometric Langlands Program and Arithmetic Algebraic Geometry,California Institute of Technology
1447008,2015-02-11,29958,Standard Grant,The 20th Midwest Geometry Conference,University of Oklahoma Norman Campus
1513364,2015-02-11,91899,Standard Grant,"Biochemical reaction systems: multistationarity, persistence, and identifiability",Texas A&M University
1454515,2015-02-12,400000,Continuing Grant,CAREER: Statistical Analysis of Massive Data Sets under Low-Complexity Constraints,Georgia Tech Research Corporation
1454945,2015-02-12,400000,Continuing Grant,CAREER: Forcing and Large Cardinals,University of Illinois at Chicago
1465070,2015-02-13,57543,Standard Grant,40th and 41st Arkansas Spring Lecture Series in the Mathematical Sciences,University of Arkansas
1501126,2015-02-13,40000,Standard Grant,Conference on Ergodic Theory and Combinatorics,University of Memphis
1507869,2015-02-13,40000,Standard Grant,"Conference ""Representation theory and Geometry of symplectic resolutions""",Northeastern University
1454377,2015-02-18,400000,Continuing Grant,CAREER: An Integrated Inferential Framework for Big Data Research and Education,Princeton University
1460870,2015-02-18,499775,Standard Grant,REU Site: Team Research in Computational and Applied Mathematics (TRiCAM),Harvard University
1464156,2015-02-18,29900,Standard Grant,Summer Topology Conference 2015 and Galway Topology Colloquium,University of Pittsburgh
1519375,2015-02-19,422194,Continuing Grant,CAREER: Topological mechanism of DNA unlinking by the XerCD-FtsK system,University of California-Davis
1501039,2015-02-20,76952,Standard Grant,Graduate Student Topology and Geometry Conference,University of Illinois at Urbana-Champaign
1502336,2015-02-20,19728,Standard Grant,"Elementary, analytic, and algorithmic number theory: Research inspired by the mathematics of Carl Pomerance",University of Georgia Research Foundation Inc
1510109,2015-02-20,26736,Standard Grant,IHES summer school on Moduli Problems in Symplectic Geometry,University of California-Berkeley
1461446,2015-02-23,40000,Standard Grant,Seminar on Stochastic Processes 2015,University of Delaware
1502135,2015-02-23,90000,Standard Grant,Gokova Geometry/Topology Conference,Michigan State University
1512545,2015-02-23,22200,Standard Grant,The 12th Brauer Group Meeting,University of Montana
1516781,2015-02-23,18000,Standard Grant,Conference on the work of W. Hugh Woodin,Miami University
1454854,2015-02-25,418601,Continuing Grant,CAREER: Geometric flows and four-dimensional geometry,University of California-Irvine
1464089,2015-02-25,48950,Standard Grant,Infinite Possibilities Conference 2015,Oregon State University
1507836,2015-02-25,15000,Standard Grant,Conference in Stochastic Analysis and Related Topics,Purdue University
1452111,2015-02-26,274358,Continuing Grant,CAREER: ARITHMETIC STRUCTURE OF HOMOTOPY THEORY,University of Notre Dame
1461385,2015-02-26,50166,Standard Grant,Workshops in Geometric Topology,University of Wisconsin-Milwaukee
1501137,2015-02-26,35213,Standard Grant,Rocky Mountain Mathematics Consortium Summer School: The Structure of C*-Algebras,University of Wyoming
1510060,2015-02-26,90919,Standard Grant,Texas Geometry and Topology Conference,Texas A&M University
1522633,2015-02-26,49700,Standard Grant,Northeast Conferences on Geometry and Topology of 4-Manifolds,University of Massachusetts Amherst
1535653,2015-02-26,120134,Standard Grant,"FRG: Collaborative Research: Singularities, mixing and long time behavior in nonlinear evolution",William Marsh Rice University
1535822,2015-02-26,10097,Standard Grant,International Conference on Partial Differential Equations (COPDE-2015),George Washington University
1500991,2015-02-27,15000,Standard Grant,"Twenty-Eighth Cumberland Conference on Combinatorics, Graph Theory, and Computing",University of South Carolina at Columbia
1536017,2015-02-27,121118,Standard Grant,FRG: Collaborative Research: Deformation Spaces of Geometric Structures,California Institute of Technology
1500034,2015-03-02,22900,Standard Grant,"Simple groups, representations, and related topics",University of Oregon Eugene
1500920,2015-03-02,34999,Standard Grant,"Model Theory, Difference/Differential Equations, and Applications",University of California-Berkeley
1451191,2015-03-06,481354,Continuing Grant,CAREER: New algebraic techniques for line-point incidence problems,Princeton University
1460646,2015-03-06,27000,Standard Grant,PIMS Summer School in Probability 2015,University of North Carolina at Chapel Hill
1518937,2015-03-06,31500,Standard Grant,Smoky Great Plains Geometry Conference,Wichita State University
1529735,2015-03-06,83354,Standard Grant,Rational curves and arithmetic,Northeastern University
1534641,2015-03-06,10000,Standard Grant,The 2015 John Barrett Memorial Lectures,University of Tennessee Knoxville
1502381,2015-03-11,150000,Fellowship Award,PostDoctoral Research Fellowship,Chih                    Ellen          S
1502390,2015-03-11,150000,Fellowship Award,PostDoctoral Research Fellowship,Griffin                 Michael        J
1502623,2015-03-11,150000,Fellowship Award,PostDoctoral Research Fellowship,Aougab                  Tarik          B
1502794,2015-03-11,150000,Fellowship Award,PostDoctoral Research Fellowship,Tshishiku               Bena           M
1503100,2015-03-11,150000,Fellowship Award,PostDoctoral Research Fellowship,Scaduto                 Christopher    W
1518925,2015-03-11,166752,Standard Grant,Problems in mathematical foundations of adaptive finite element methods,Texas A&M University
1519977,2015-03-12,27250,Standard Grant,Number Theory: From Arithmetic Statistics to Zeta Elements II,Dartmouth College
1500939,2015-03-13,18250,Standard Grant,Conference on Recent Developments in Continuum Mechanics and Partial Differential Equations,University of Nebraska-Lincoln
1502650,2015-03-13,150000,Fellowship Award,PostDoctoral Research Fellowship,Acan                    Huseyin
1502686,2015-03-13,150000,Fellowship Award,PostDoctoral Research Fellowship,Manion                  Andrew         J
1502916,2015-03-13,150000,Fellowship Award,PostDoctoral Research Fellowship,Calabrese               John
1503062,2015-03-13,150000,Fellowship Award,PostDoctoral Research Fellowship,Brunyate                Adrian         M
1503119,2015-03-13,150000,Fellowship Award,PostDoctoral Research Fellowship,Chmutov                 Michael
1464921,2015-03-16,20000,Standard Grant,Connections in Discrete Mathematics,Iowa State University
1500835,2015-03-16,324405,Continuing Grant,Operator Theory Arising from Systems Engineering,University of California-San Diego
1525692,2015-03-16,298474,Continuing Grant,CAREER: A new and pragmatic framework for modeling and predicting conditional quantiles in data-sparse regions,George Washington University
1534233,2015-03-16,273530,Continuing Grant,"ATD: Efficient online detection based on multiple sensors, with applications to cybersecurity and discovery of biological threats",American University
1501160,2015-03-17,22000,Standard Grant,International Conference in Homological Algebra,"Georgia Southern University Research and Service Foundation, Inc"
1501728,2015-03-17,150000,Fellowship Award,PostDoctoral Research Fellowship,Starkston               Laura          P
1502253,2015-03-17,150000,Fellowship Award,PostDoctoral Research Fellowship,Turanova                Olga
1502585,2015-03-17,150000,Fellowship Award,PostDoctoral Research Fellowship,Engel                   Philip
1502608,2015-03-17,150000,Fellowship Award,PostDoctoral Research Fellowship,Cohen                   David          B
1502657,2015-03-17,150000,Fellowship Award,PostDoctoral Research Fellowship,Perlmutter              Nathan         G
1502687,2015-03-17,150000,Fellowship Award,PostDoctoral Research Fellowship,Ullery                  Brooke
1502845,2015-03-17,150000,Fellowship Award,PostDoctoral Research Fellowship,Williams                Harold
1503094,2015-03-17,150000,Fellowship Award,PostDoctoral Research Fellowship,Feldheim                Naomi
1500868,2015-03-18,40000,Standard Grant,p-adic Methods in Number Theory,Georgia Tech Research Corporation
1501152,2015-03-18,150000,Fellowship Award,PostDoctoral Research Fellowship,Mooney                  Connor         R
1502435,2015-03-18,150000,Fellowship Award,PostDoctoral Research Fellowship,Solomon                 Justin         M
1502512,2015-03-18,150000,Fellowship Award,PostDoctoral Research Fellowship,Wilson                  Andrew         T
1502569,2015-03-18,150000,Fellowship Award,PostDoctoral Research Fellowship,"Shlapentokh-Rothman, Yakov"
1502713,2015-03-18,150000,Fellowship Award,PostDoctoral Research Fellowship,Li                      Yingkun
1502834,2015-03-18,150000,Fellowship Award,PostDoctoral Research Fellowship,Varma                   Ila
1502881,2015-03-18,150000,Fellowship Award,PostDoctoral Research Fellowship,Serhiyenko              Khrystyna
1503050,2015-03-18,150000,Fellowship Award,PostDoctoral Research Fellowship,Walters                 Robin          S
1503147,2015-03-18,150000,Fellowship Award,PostDoctoral Research Fellowship,Negron                  Cris
1501074,2015-03-19,45400,Standard Grant,Dynamical Systems and Ergodic Theory Conference,University of Alabama at Birmingham
1501103,2015-03-19,299999,Continuing Grant,Operator algebras between theory and application,University of Illinois at Urbana-Champaign
1502386,2015-03-19,150000,Fellowship Award,PostDoctoral Research Fellowship,Litt                    Daniel
1502691,2015-03-19,150000,Fellowship Award,PostDoctoral Research Fellowship,She                     Yiwei
1502731,2015-03-19,150000,Fellowship Award,PostDoctoral Research Fellowship,Fehrman                 Benjamin       J
1502980,2015-03-19,150000,Fellowship Award,PostDoctoral Research Fellowship,Lacker                  Daniel         H
1502449,2015-03-20,80733,Standard Grant,The Cornell Topology Conference,Cornell University
1453893,2015-03-23,445865,Continuing Grant,CAREER:  Combinatorial Categories and Commutative,Regents of the University of Michigan - Ann Arbor
1460967,2015-03-23,374980,Standard Grant,REU Site: Modeling and Simulation in Systems Biology,University of Connecticut Health Center
1500662,2015-03-23,23408,Standard Grant,2015 Rocky Mountain-Great Plains Graduate Research Workshop in Combinatorics,Iowa State University
1506560,2015-03-23,14980,Continuing Grant,Upstate New York Number Theory Conference,SUNY at Binghamton
1506706,2015-03-23,15000,Continuing Grant,Upstate New York Number Theory Conference,University of Rochester
1507085,2015-03-23,15000,Standard Grant,Upstate New York Number Theory Conference,Cornell University
1507126,2015-03-23,14995,Continuing Grant,Upstate New York Number Theory Conference,SUNY at Buffalo
1451384,2015-03-24,450000,Continuing Grant,CAREER: Mathematical Modeling and Computational Studies of Human Seizure Initiation and Spread,Trustees of Boston University
1500035,2015-03-24,420000,Continuing Grant,"Free Gibbs States: Von Neumann Algebras, Random Matrices, and Subfactors",University of California-Los Angeles
1501724,2015-03-25,15000,Standard Grant,The SRCOS Summer Research Conference in Statistics and Biostatistics,Baylor University
1502154,2015-03-25,15000,Standard Grant,Second Latin American School of Algebraic Geometry and Applications (II ELGA),Northeastern University
1509623,2015-03-25,29000,Standard Grant,Young Topologists Meeting 2015,Massachusetts Institute of Technology
1513526,2015-03-25,20000,Standard Grant,"CRM 2015 Thematic Semester: AdS/CFT, Holography, Integrability",Indiana University
1522597,2015-03-25,25000,Standard Grant,AG15: SIAM Conference on Applied Algebraic Geometry,Georgia Tech Research Corporation
1523119,2015-03-25,49120,Standard Grant,Summer Program on Conformal Geometry and Geometric PDE in Beijing,University of California-Santa Cruz
1500142,2015-03-27,311208,Continuing Grant,Geometric and Analytic Problems on Real Hypersurfaces,Regents of the University of Michigan - Ann Arbor
1500440,2015-03-27,297800,Continuing Grant,Potential Theory of Functions of Bounded Variation and Quasiconformal Maps,University of Cincinnati Main Campus
1500607,2015-03-27,15500,Standard Grant,KUMU PDE Conference Proposal,University of Kansas Center for Research Inc
1501798,2015-03-27,6000,Standard Grant,Midwestern Young Researchers Conference on Commutative Algebra and Related Disciplines: KUMUNU Jr 2015,University of Nebraska-Lincoln
1502405,2015-03-27,150000,Fellowship Award,PostDoctoral Research Fellowship,Davis                   Damek          S
1502437,2015-03-27,150000,Fellowship Award,PostDoctoral Research Fellowship,Kang                    Hyunseung
1502464,2015-03-27,150000,Fellowship Award,PostDoctoral Research Fellowship,Anderson                Theresa        C
1502661,2015-03-27,150000,Fellowship Award,PostDoctoral Research Fellowship,Galkowski               Jeffrey        E
1502665,2015-03-27,150000,Fellowship Award,PostDoctoral Research Fellowship,Kuan                    Jeffrey
1502851,2015-03-27,150000,Fellowship Award,PostDoctoral Research Fellowship,Fai                     Thomas         G
1502852,2015-03-27,150000,Fellowship Award,PostDoctoral Research Fellowship,Kriventsov              Dennis
1503115,2015-03-27,150000,Fellowship Award,PostDoctoral Research Fellowship,Jaramillo               Gabriela       T
1531461,2015-03-27,26260,Standard Grant,"Temple University Graduate Student Conference in Algebra, Geometry, and Topology",Temple University
